year	month	currency	reais_real_inpc	minwage_nominal	reais_nominal
1984	1	Cr$	678.78	57120.00	0.000000020771
1984	2	Cr$	618.55	57120.00	0.000000020771
1984	3	Cr$	563.17	57120.00	0.000000020771
1984	4	Cr$	514.20	57120.00	0.000000020771
1984	5	Cr$	804.71	97176.00	0.000000035337
1984	6	Cr$	731.81	97176.00	0.000000035337
1984	7	Cr$	670.72	97176.00	0.000000035337
1984	8	Cr$	617.78	97176.00	0.000000035337
1984	9	Cr$	556.05	97176.00	0.000000035337
1984	10	Cr$	503.25	97176.00	0.000000035337
1984	11	Cr$	781.84	166560.00	0.000000060567
1984	12	Cr$	700.44	166560.00	0.000000060567
1985	1	Cr$	626.30	166560.00	0.000000060567
1985	2	Cr$	564.50	166560.00	0.000000060567
1985	3	Cr$	513.44	166560.00	0.000000060567
1985	4	Cr$	472.85	166560.00	0.000000060567
1985	5	Cr$	882.16	333120.00	0.000000121130
1985	6	Cr$	814.29	333120.00	0.000000121130
1985	7	Cr$	739.75	333120.00	0.000000121130
1985	8	Cr$	662.78	333120.00	0.000000121130
1985	9	Cr$	602.05	333120.00	0.000000121130
1985	10	Cr$	546.08	333120.00	0.000000121130
1985	11	Cr$	861.40	600000.00	0.000000218180
1985	12	Cr$	744.18	600000.00	0.000000218180
1986	1	Cr$	647.06	600000.00	0.000000218180
1986	2	Cr$	575.32	600000.00	0.000000218180
1986	3	Cz$	747.22	804.00	0.000000292360
1986	4	Cz$	744.02	804.00	0.000000292360
1986	5	Cz$	736.10	804.00	0.000000292360
1986	6	Cz$	729.06	804.00	0.000000292360
1986	7	Cz$	722.51	804.00	0.000000292360
1986	8	Cz$	712.31	804.00	0.000000292360
1986	9	Cz$	703.93	804.00	0.000000292360
1986	10	Cz$	693.99	804.00	0.000000292360
1986	11	Cz$	671.90	804.00	0.000000292360
1986	12	Cz$	626.39	804.00	0.000000292360
1987	1	Cz$	643.46	964.80	0.000000350840
1987	2	Cz$	564.72	964.80	0.000000350840
1987	3	Cz$	699.95	1368.00	0.000000497450
1987	4	Cz$	578.66	1368.00	0.000000497450
1987	5	Cz$	563.91	1641.60	0.000000596950
1987	6	Cz$	557.86	1969.92	0.000000716330
1987	7	Cz$	507.47	1969.92	0.000000716330
1987	8	Cz$	482.91	1970.00	0.000000716360
1987	9	Cz$	549.06	2400.00	0.000000872730
1987	10	Cz$	544.70	2640.00	0.000000960000
1987	11	Cz$	538.57	3000.00	0.000001090900
1987	12	Cz$	567.07	3600.00	0.000001309100
1988	1	Cz$	595.81	4500.00	0.000001636400
1988	2	Cz$	603.65	5280.00	0.000001920000
1988	3	Cz$	604.11	6240.00	0.000002269100
1988	4	Cz$	593.99	7260.00	0.000002640000
1988	5	Cz$	602.83	8712.00	0.000003168000
1988	6	Cz$	586.70	10368.00	0.000003770200
1988	7	Cz$	572.41	12444.00	0.000004525100
1988	8	Cz$	593.03	15552.00	0.000005655300
1988	9	Cz$	569.59	18960.00	0.000006894500
1988	10	Cz$	561.99	23700.00	0.000008618200
1988	11	Cz$	569.92	30800.00	0.000011200000
1988	12	Cz$	582.44	40425.00	0.000014700000
1989	1	Cz$	578.25	54374.00	0.000019772000
1989	2	NCz$	584.06	63.90	0.000023236000
1989	3	NCz$	551.52	63.90	0.000023236000
1989	4	NCz$	510.38	63.90	0.000023236000
1989	5	NCz$	557.26	81.40	0.000029600000
1989	6	NCz$	634.87	120.00	0.000043636000
1989	7	NCz$	622.08	149.80	0.000054473000
1989	8	NCz$	601.42	192.88	0.000070138000
1989	9	NCz$	570.52	249.48	0.000090720000
1989	10	NCz$	629.12	381.73	0.000138810000
1989	11	NCz$	618.65	557.33	0.000202670000
1989	12	NCz$	578.34	788.18	0.000286610000
1990	1	NCz$	560.15	1283.95	0.000466890000
1990	2	NCz$	502.58	2004.37	0.000728860000
1990	3	NCz$	505.68	3674.06	0.001336000000
1990	4	Cr$	440.99	3674.06	0.001336000000
1990	5	Cr$	410.95	3674.06	0.001336000000
1990	6	Cr$	386.50	3857.76	0.001402800000
1990	7	Cr$	436.34	4904.76	0.001783500000
1990	8	Cr$	412.65	5203.46	0.001892200000
1990	9	Cr$	420.34	6056.31	0.002202300000
1990	10	Cr$	389.71	6425.14	0.002336400000
1990	11	Cr$	432.10	8329.54	0.003028900000
1990	12	Cr$	384.77	8836.82	0.003213400000
1991	1	Cr$	443.72	12325.60	0.004482000000
1991	2	Cr$	476.08	15895.45	0.010000000000
1991	3	Cr$	455.46	17000.00	0.010000000000
1991	4	Cr$	433.74	17000.00	0.010000000000
1991	5	Cr$	406.58	17000.00	0.010000000000
1991	6	Cr$	366.84	17000.00	0.010000000000
1991	7	Cr$	327.12	17000.00	0.010000000000
1991	8	Cr$	282.93	17000.00	0.010000000000
1991	9	Cr$	604.57	42000.00	0.020000000000
1991	10	Cr$	499.32	42000.00	0.020000000000
1991	11	Cr$	394.78	42000.00	0.020000000000
1991	12	Cr$	317.99	42000.00	0.020000000000
1992	1	Cr$	577.44	96037.33	0.030000000000
1992	2	Cr$	463.88	96037.33	0.030000000000
1992	3	Cr$	381.42	96037.33	0.030000000000
1992	4	Cr$	315.64	96037.33	0.030000000000
1992	5	Cr$	607.17	230000.00	0.080000000000
